time,open,high,low,close,volume,session
2020-04-28 00:00:00,7789.77,7794.74,7672.0,7755.01,10984.76643504,Asia
2020-04-29 00:00:00,7757.18,8988.0,7720.0,8793.75,48689.75030108,Asia
2020-04-30 00:00:00,8794.99,9478.66,8407.0,8624.28,44843.9646793,Asia
2020-05-01 00:00:00,8624.68,9075.98,8622.72,8829.42,21803.00916225,Asia
2020-05-02 00:00:00,8829.42,9025.0,8762.01,8985.58,10539.26528999,Asia
2020-05-03 00:00:00,8984.69,9203.52,8731.01,8909.95,17147.65372312,Asia
2020-05-04 00:00:00,8907.85,8970.0,8533.98,8883.53,18536.52450246,Asia
2020-05-05 00:00:00,8887.81,9126.27,8769.69,9028.79,16392.29936609,Asia
2020-05-06 00:00:00,9028.78,9418.0,8922.13,9155.79,27650.87868274,Asia
2020-05-07 00:00:00,9155.79,10079.0,9028.89,10004.77,39823.12235043,Asia
2020-05-08 00:00:00,10000.37,10049.0,9730.0,9810.0,26363.71688893,Asia
2020-05-09 00:00:00,9810.01,9920.73,9521.0,9537.21,17931.1748552,Asia
2020-05-10 00:00:00,9537.21,9559.98,8106.7,8729.86,51051.26283799,Asia
2020-05-11 00:00:00,8729.86,9182.66,8185.0,8572.4,39999.37731433,Asia
2020-05-12 00:00:00,8572.4,8982.9,8534.85,8821.42,20219.23699186,Asia
2020-05-13 00:00:00,8821.41,9420.18,8803.97,9321.26,21737.55710558,Asia
2020-05-14 00:00:00,9320.85,9943.93,9257.15,9795.34,28752.36041568,Asia
2020-05-15 00:00:00,9795.34,9849.0,9120.0,9312.1,25180.97967322,Asia
2020-05-16 00:00:00,9312.1,9594.99,9215.01,9383.16,10906.46029261,Asia
2020-05-17 00:00:00,9380.01,9896.0,9325.81,9676.63,13540.66294076,Asia
2020-05-18 00:00:00,9677.45,9957.25,9436.97,9728.52,17710.29958398,Asia
2020-05-19 00:00:00,9728.52,9898.0,9463.22,9783.76,15305.66088274,Asia
2020-05-20 00:00:00,9783.57,9836.99,9294.54,9509.41,16895.54925055,Asia
2020-05-21 00:00:00,9509.4,9568.0,8800.0,9061.96,28081.22890941,Asia
2020-05-22 00:00:00,9059.32,9267.34,8923.5,9168.84,13731.91887098,Asia
2020-05-23 00:00:00,9168.84,9313.83,9090.11,9181.76,6946.31801318,Asia
2020-05-24 00:00:00,9181.09,9306.23,8680.7,8715.73,13004.34567862,Asia
2020-05-25 00:00:00,8715.69,8977.0,8632.93,8899.31,12328.24203695,Asia
2020-05-26 00:00:00,8900.0,9016.99,8694.23,8844.42,11576.1928294,Asia
2020-05-27 00:00:00,8844.41,9230.0,8811.46,9208.53,10936.67835282,Asia
2020-05-28 00:00:00,9208.53,9625.0,9112.0,9580.19,14511.07649252,Asia
2020-05-29 00:00:00,9580.01,9609.02,9330.01,9423.84,10452.88059294,Asia
2020-05-30 00:00:00,9423.85,9764.0,9326.43,9700.33,10509.69814742,Asia
2020-05-31 00:00:00,9700.32,9705.6,9369.58,9446.57,7944.71669301,Asia
2020-06-01 00:00:00,9445.83,10428.0,9417.42,10208.96,21700.810846530003,Asia
2020-06-02 00:00:00,10208.96,10237.6,9270.0,9522.46,33220.58268645,Asia
2020-06-03 00:00:00,9521.53,9695.0,9385.22,9668.07,11446.72193696,Asia
2020-06-04 00:00:00,9668.06,9888.0,9450.0,9788.03,12540.42452226,Asia
2020-06-05 00:00:00,9791.96,9855.0,9585.44,9613.21,12495.89785858,Asia
2020-06-06 00:00:00,9613.42,9735.13,9526.03,9671.7,6501.31731671,Asia
2020-06-07 00:00:00,9670.28,9822.0,9370.0,9750.12,11702.24296377,Asia
2020-06-08 00:00:00,9750.12,9815.0,9632.79,9781.51,8533.83614916,Asia
2020-06-09 00:00:00,9781.51,9886.0,9567.33,9779.41,10329.87714811,Asia
2020-06-10 00:00:00,9779.7,10018.67,9690.0,9894.04,13362.89486944,Asia
