time,open,high,low,close,volume,session,range,price_return,abs_return,ATR_14,efficiency,range_change,efficiency_change,volatility_spike,rolling_volatility_std,session_step,time_since_session_open,price_vs_session_open,prev_session,is_session_transition,prev_session_return,prev_session_efficiency,body_ratio,wick_top,wick_bottom,prev_high,prev_low,fakeout_flag,engulfing_flag,strong_close,prev_return,return,return_direction_match,rolling_return_sum_3,rolling_max_high,rolling_min_low,relative_to_local_extreme,distance_to_prev_high,distance_to_prev_low,touch_prev_session_high,touch_prev_session_low,is_range_boundary_test,equal_highs_lows_flag,trend_strength,volatility_normalized_return,body_wick_alignment_score,session_bias_score
2020-05-24,9181.09,9306.23,8680.7,8715.73,13004.34567862,Asia,625.5299999999988,-465.3600000000006,465.3600000000006,563.3192857142857,1.110435974523454,,,False,,0,0,-465.3600000000006,,True,,,0.7439451345259244,125.13999999999942,35.029999999998836,,,False,False,True,,-465.3600000000006,False,,,,,,,False,False,False,False,516.7524851042352,-0.8261034404492769,False,-465.3600000000006
2020-05-25,8715.69,8977.0,8632.93,8899.31,12328.24203695,Asia,344.0699999999997,183.61999999999898,183.61999999999898,516.6342857142856,0.6659836745528748,0.5500455613639639,0.5997497287843931,False,,1,30,-281.78000000000065,Asia,False,84876.14,1.0160660752243955,0.5336704740314446,77.69000000000051,82.76000000000022,9306.23,8680.7,False,False,False,-465.3600000000006,183.61999999999898,False,,,,,-329.22999999999956,-47.77000000000044,False,True,False,False,122.28792232139818,0.355415823295836,False,-140.8700000000008
2020-05-26,8900.0,9016.99,8694.23,8844.42,11576.1928294,Asia,322.7600000000002,-55.57999999999993,55.57999999999993,507.685,0.635748544865419,0.9380649286482416,0.9546007945198433,False,,2,60,-336.6700000000001,Asia,False,84876.14,1.0160660752243955,0.17220225554591612,116.98999999999978,150.1900000000005,8977.0,8632.93,True,False,False,183.61999999999898,-55.57999999999993,False,-337.3200000000015,,,,39.98999999999978,61.29999999999927,True,False,False,False,35.33490412361994,-0.1094773333858592,False,-112.44000000000051
2020-05-27,8844.41,9230.0,8811.46,9208.53,10936.67835282,Asia,418.5400000000009,364.1200000000008,364.1200000000008,493.5657142857143,0.8479924514321456,1.2967530053290388,1.3338488279381848,False,,3,90,27.44000000000051,Asia,False,84876.14,1.0160660752243955,0.8699765852726145,21.469999999999345,32.95000000000073,9016.99,8694.23,False,True,True,-55.57999999999993,364.1200000000008,False,492.15999999999985,,,,213.01000000000022,117.22999999999956,True,False,False,False,308.77101141547354,0.7377335772338914,False,164.05333333333328
2020-05-28,9208.53,9625.0,9112.0,9580.19,14511.07649252,Asia,513.0,371.65999999999985,371.65999999999985,481.1528571428571,1.0661892419100554,1.2256893009031369,1.2573098264134364,False,,4,120,399.10000000000036,Asia,False,84876.14,1.0160660752243955,0.72448343079922,44.80999999999949,96.53000000000065,9230.0,8811.46,False,False,True,364.1200000000008,371.65999999999985,True,680.2000000000007,9625.0,8632.93,,395.0,300.5400000000009,True,False,True,False,396.25989364829104,0.7724364398602165,False,226.73333333333358
2020-05-29,9580.01,9609.02,9330.01,9423.84,10452.88059294,Asia,279.0100000000002,-156.17000000000007,156.17000000000007,449.01071428571424,0.6213882901298893,0.5438791423001954,0.5828123804894949,False,,5,150,242.75,Asia,False,84876.14,1.0160660752243955,0.5597290419698217,29.01000000000022,93.82999999999993,9625.0,9112.0,False,True,False,371.65999999999985,-156.17000000000007,False,579.6100000000006,9625.0,8632.93,-201.15999999999985,-15.979999999999563,218.01000000000022,False,False,True,False,97.04220926958486,-0.34780907232566854,False,193.20333333333352
2020-05-30,9423.85,9764.0,9326.43,9700.33,10509.69814742,Asia,437.5699999999997,276.47999999999956,276.47999999999956,453.1242857142857,0.9656732463814716,1.568295043188414,1.5540576829660182,False,,6,180,519.2399999999998,Asia,False,84876.14,1.0160660752243955,0.6318531892040125,63.67000000000007,97.42000000000007,9609.02,9330.01,False,False,True,-156.17000000000007,276.47999999999956,False,491.96999999999935,9764.0,8694.23,75.32999999999993,154.97999999999956,-3.5799999999999272,True,True,True,False,266.9893391595488,0.6101637204551249,False,163.98999999999978
2020-05-31,9700.32,9705.6,9369.58,9446.57,7944.71669301,Asia,336.02000000000044,-253.75,253.75,436.3978571428571,0.7699854490577908,0.767922846630255,0.7973560952869373,False,,7,210,265.47999999999956,Asia,False,84876.14,1.0160660752243955,0.7551633831319554,5.280000000000655,76.98999999999978,9764.0,9326.43,False,True,False,276.47999999999956,-253.75,False,-133.4400000000005,9764.0,8811.46,-317.4300000000003,-58.399999999999636,43.149999999999636,False,False,True,False,195.38380769841442,-0.5814648166728592,False,-44.48000000000017
2020-06-01,9445.83,10428.0,9417.42,10208.96,21700.810846530003,Asia,1010.5799999999999,763.1299999999992,763.1299999999992,471.41928571428565,2.1436967697848597,3.007499553597996,2.7840743905070418,True,,8,240,1027.869999999999,Asia,False,84876.14,1.0160660752243955,0.7551406123216363,219.04000000000087,28.409999999999854,9705.6,9369.58,False,True,False,-253.75,763.1299999999992,False,785.8599999999988,10428.0,9112.0,444.9599999999991,722.3999999999996,47.840000000000146,True,False,True,False,1635.9193159259182,1.6187924913672527,False,261.9533333333329
2020-06-02,10208.96,10237.6,9270.0,9522.46,33220.58268645,Asia,967.6000000000004,-686.5,686.5,509.47785714285703,1.899199320312534,0.9574699677412976,0.8859458796045752,False,264.73670915332707,9,270,341.369999999999,Asia,False,84876.14,1.0160660752243955,0.709487391484084,28.640000000001237,252.45999999999913,10428.0,9417.42,False,False,False,763.1299999999992,-686.5,False,-177.1200000000008,10428.0,9270.0,-905.5400000000009,-190.39999999999964,-147.42000000000007,False,True,True,False,1303.8003333945546,-1.347457971676885,False,-59.04000000000027
