date,session,open,high,low,close,volume,range,price_return,timeframe
2020-04-28,Asia,7725.99,7732.63,7720.18,7722.01,55.98119622,12.449999999999818,-3.9799999999995634,30m
2020-04-28,Asia + London Overlap,7722.01,7722.01,7698.71,7712.46,165.51947456,23.300000000000182,-9.550000000000182,30m
2020-04-28,London,7712.45,7775.0,7689.36,7768.05,1517.8739281599999,85.64000000000033,55.600000000000364,30m
2020-04-28,London + NY Overlap,7768.04,7774.99,7690.02,7691.84,1534.70448136,84.96999999999935,-76.19999999999982,30m
2020-04-28,New York,7690.27,7760.0,7672.51,7726.59,2422.64099256,87.48999999999978,36.31999999999971,30m
2020-04-28,Other,7725.91,7777.44,7714.44,7755.01,1728.10052205,63.0,29.100000000000364,30m
2020-04-29,Asia,7757.18,7975.0,7720.0,7961.68,6270.06496667,255.0,204.5,30m
2020-04-29,Asia + London Overlap,7960.33,7979.78,7929.02,7958.59,489.00081452,50.75999999999931,-1.7399999999997817,30m
2020-04-29,London,7959.73,8298.0,7943.01,8265.91,8006.479379779999,354.9899999999998,306.1800000000003,30m
2020-04-29,London + NY Overlap,8265.9,8425.25,8265.9,8368.56,7299.17032505,159.35000000000036,102.65999999999985,30m
2020-04-29,New York,8368.56,8988.0,8305.0,8737.62,19799.12392415,683.0,369.0600000000013,30m
2020-04-29,Other,8737.62,8950.0,8696.14,8793.75,6825.91089091,253.86000000000058,56.1299999999992,30m
2020-04-30,Asia,8794.99,9478.66,8715.0,9326.58,16011.653307890001,763.6599999999999,531.5900000000001,30m
2020-04-30,Asia + London Overlap,9325.57,9345.27,9020.0,9184.68,2153.3251327099997,325.27000000000044,-140.88999999999942,30m
2020-04-30,London,9184.69,9232.31,8541.63,8768.19,9091.2764132,690.6800000000003,-416.5,30m
2020-04-30,London + NY Overlap,8768.19,8907.98,8720.1,8833.77,2292.79857285,187.8799999999992,65.57999999999993,30m
2020-04-30,New York,8835.07,8864.37,8407.0,8848.7,10940.8418003,457.3700000000008,13.630000000001019,30m
2020-04-30,Other,8847.27,8894.0,8585.74,8624.28,4354.069452350001,308.2600000000002,-222.98999999999978,30m
2020-05-01,Asia,8624.68,8836.9,8622.72,8760.01,4766.78902185,214.1800000000003,135.32999999999993,30m
2020-05-01,Asia + London Overlap,8760.01,8783.96,8712.57,8782.0,1186.57242456,71.38999999999942,21.98999999999978,30m
2020-05-01,London,8778.92,9075.98,8753.44,8889.98,5479.33158895,322.53999999999905,111.05999999999949,30m
2020-05-01,London + NY Overlap,8889.62,8932.59,8715.29,8832.42,2588.44230941,217.29999999999927,-57.20000000000073,30m
2020-05-01,New York,8832.42,8869.92,8659.82,8731.74,4604.9175538,210.10000000000036,-100.68000000000029,30m
2020-05-01,Other,8731.74,8900.0,8666.4,8829.42,3176.95626368,233.60000000000036,97.68000000000029,30m
2020-05-02,Asia,8829.42,8865.4,8762.01,8829.87,2435.0216964700003,103.38999999999942,0.4500000000007276,30m
2020-05-02,Asia + London Overlap,8829.92,8834.94,8786.87,8807.2,216.07841722999999,48.06999999999971,-22.719999999999345,30m
2020-05-02,London,8808.34,8952.93,8777.24,8869.86,1625.62662917,175.6900000000005,61.52000000000044,30m
2020-05-02,London + NY Overlap,8869.23,8967.87,8863.97,8931.4,886.1377065500001,103.90000000000146,62.17000000000007,30m
2020-05-02,New York,8931.67,9025.0,8817.0,8885.14,3897.07706208,208.0,-46.530000000000655,30m
2020-05-02,Other,8885.89,8996.0,8860.68,8985.58,1479.32377849,135.3199999999997,99.69000000000051,30m
2020-05-03,Asia,8984.69,9203.52,8922.67,9011.39,7004.15731268,280.85000000000036,26.69999999999891,30m
2020-05-03,Asia + London Overlap,9011.38,9039.0,8986.68,8996.67,316.64795242,52.31999999999971,-14.709999999999127,30m
2020-05-03,London,8995.78,9144.17,8842.34,8964.65,2680.5392021899997,301.8299999999999,-31.13000000000102,30m
2020-05-03,London + NY Overlap,8963.9,8963.9,8742.0,8777.53,2374.21100271,221.89999999999964,-186.36999999999898,30m
2020-05-03,New York,8777.01,8910.0,8731.01,8877.96,2514.59277557,178.98999999999978,100.94999999999891,30m
2020-05-03,Other,8875.61,8967.63,8798.0,8909.95,2257.50547755,169.6299999999992,34.340000000000146,30m
2020-05-04,Asia,8907.85,8950.0,8533.98,8632.78,6935.67404305,416.02000000000044,-275.0699999999997,30m
2020-05-04,Asia + London Overlap,8632.79,8682.13,8583.25,8662.45,477.58072300000003,98.8799999999992,29.659999999999854,30m
2020-05-04,London,8662.47,8782.41,8606.67,8724.49,2634.10046795,175.73999999999978,62.02000000000044,30m
2020-05-04,London + NY Overlap,8724.5,8873.68,8724.5,8793.41,2208.92820033,149.1800000000003,68.90999999999985,30m
2020-05-04,New York,8793.41,8898.88,8756.5,8845.0,3637.18402634,142.3799999999992,51.590000000000146,30m
2020-05-04,Other,8844.38,8970.0,8839.76,8883.53,2643.05704179,130.23999999999978,39.150000000001455,30m
2020-05-05,Asia,8887.81,9126.27,8822.05,9035.93,5077.70875704,304.22000000000116,148.1200000000008,30m
2020-05-05,Asia + London Overlap,9037.92,9091.65,9010.09,9021.08,673.69705273,81.55999999999949,-16.840000000000146,30m
2020-05-05,London,9024.04,9081.52,8769.69,8880.37,3381.5358200299997,311.8299999999999,-143.67000000000007,30m
2020-05-05,London + NY Overlap,8879.67,8961.1,8827.1,8887.68,1877.74360875,134.0,8.010000000000218,30m
2020-05-05,New York,8887.0,8948.11,8831.01,8918.95,3060.1928275,117.10000000000036,31.950000000000728,30m
2020-05-05,Other,8918.96,9050.92,8911.15,9028.79,2321.42130004,139.77000000000044,109.83000000000175,30m
2020-05-06,Asia,9028.78,9075.0,8922.13,9032.49,3245.93689316,152.8700000000008,3.709999999999127,30m
2020-05-06,Asia + London Overlap,9032.48,9059.2,9008.0,9035.01,305.12045121,51.20000000000073,2.530000000000655,30m
2020-05-06,London,9035.01,9399.0,9010.4,9242.19,7714.69893898,388.60000000000036,207.1800000000003,30m
2020-05-06,London + NY Overlap,9243.0,9287.13,9129.45,9243.41,3791.98037663,157.67999999999847,0.4099999999998545,30m
2020-05-06,New York,9243.42,9325.0,9212.84,9256.41,5448.87776483,112.15999999999985,12.989999999999782,30m
2020-05-06,Other,9256.17,9418.0,9061.63,9155.79,7144.26425793,356.3700000000008,-100.3799999999992,30m
2020-05-07,Asia,9155.79,9382.61,9028.89,9260.88,5610.04461118,353.72000000000116,105.08999999999833,30m
2020-05-07,Asia + London Overlap,9260.88,9325.0,9248.46,9321.1,325.01743363,76.54000000000087,60.220000000001164,30m
2020-05-07,London,9321.1,9387.03,9256.49,9384.99,2876.0465016999997,130.54000000000087,63.88999999999942,30m
