open,high,low,close,volume,hour,minute,weekday,month,range,price_return,abs_return,ATR_14,efficiency,range_change,efficiency_change,volatility_spike,rolling_volatility_std,session,session_step,time_since_session_open,price_vs_session_open,prev_session,is_session_transition,prev_session_return,prev_session_efficiency,body_ratio,wick_top,wick_bottom,prev_high,prev_low,fakeout_flag,engulfing_flag,strong_close,prev_return,return_direction_match,rolling_return_sum_3,rolling_max_high,rolling_min_low,relative_to_local_extreme,distance_to_prev_high,distance_to_prev_low,touch_prev_session_high,touch_prev_session_low,is_range_boundary_test,equal_highs_lows_flag,return,trend_strength,volatility_normalized_return,body_wick_alignment_score,session_bias_score,dist_to_support,dist_to_resistance,in_support_zone,in_resistance_zone,range_bot,range_top,fake_break_high,fake_break_low,bait_trap_pattern,time_to_support
228.99,229.0,225.91,226.05,5015.29790379,3,0,0,6,3.0900000000000034,-2.9399999999999977,2.9399999999999977,1.8078571428571368,1.7092058474911178,3.471910112359608,3.138573819470082,False,0.8573628818132502,Asia,664,19920,29.410000000000025,Asia,False,1646.65,0.9251772000090536,0.95145631067961,0.0099999999999909,0.1400000000000147,229.63,228.74,False,False,True,-0.2199999999999988,True,-2.030000000000001,231.39,225.91,-5.919999999999988,-0.6299999999999955,-2.8300000000000125,False,True,True,True,-2.9399999999999977,5.025065191623883,-1.6262346898459148,True,-0.6766666666666667,0.01735892755184923,0.011218407136194104,False,False,222.05535714285713,226.45948529411763,True,True,True,4.0
226.05,227.25,224.36,225.3,7777.12245259,3,30,0,6,2.8899999999999864,-0.75,0.75,1.973571428571422,1.4643503438291692,0.9352750809061434,0.8567431160960728,False,0.9135498526809256,Asia,665,19950,28.660000000000025,Asia,False,1646.65,0.9251772000090536,0.2595155709342572,1.1999999999999886,0.9399999999999976,229.0,225.91,False,False,False,-2.9399999999999977,True,-3.9099999999999966,231.0,224.36,-6.089999999999975,-1.75,-1.549999999999983,False,True,True,False,-0.75,1.0982627578718769,-0.3800217155266027,False,-1.303333333333332,0.010378686138430838,0.00349075555327559,False,False,222.05535714285713,226.45948529411763,True,True,True,3.0
226.71,227.03,225.95,226.36,2640.29812038,4,30,0,6,1.0800000000000125,-0.3499999999999943,0.3499999999999943,2.026428571428568,0.5329573493126614,0.3927272727272772,0.4108616656519415,False,0.950529676899501,Asia,667,20010,29.720000000000027,Asia,False,1646.65,0.9251772000090536,0.3240740740740651,0.3199999999999932,0.410000000000025,227.11,224.36,False,False,False,1.3999999999999773,False,0.2999999999999829,229.63,224.36,-3.269999999999982,-0.0800000000000125,1.589999999999975,False,False,True,False,-0.3499999999999943,0.1865350722594284,-0.1727176594994688,False,0.0999999999999944,0.01753906281413096,0.002519279354280125,False,False,222.05535714285713,226.45948529411763,True,True,True,1.0
226.37,226.46,224.11,225.2,3880.79459923,5,0,0,6,2.3499999999999943,-1.170000000000016,1.170000000000016,1.980714285714281,1.1864406779661016,2.1759259259258954,2.2261456371625563,False,0.9426911830852504,Asia,668,20040,28.56,Asia,False,1646.65,0.9251772000090536,0.4978723404255399,0.0900000000000034,1.089999999999975,227.03,225.95,False,False,False,-0.3499999999999943,True,-0.1200000000000329,229.0,224.11,-4.430000000000007,-0.5699999999999932,-1.839999999999975,False,True,True,False,-1.170000000000016,1.3881355932203578,-0.5906959971150473,False,-0.0400000000000108,0.009252840749169794,2.272838700981824e-06,False,True,222.05535714285713,226.45948529411763,True,True,True,0.0
225.31,226.5,225.15,226.42,1942.34869913,1,30,0,6,1.3499999999999943,1.1099999999999852,1.1099999999999852,1.2342857142857144,1.0937499999999951,1.2980769230769276,1.243990384615389,False,0.2457392475324083,Asia,857,25710,29.78,Asia,False,1646.65,0.9251772000090536,0.8222222222222147,0.0800000000000125,0.1599999999999966,225.73,224.69,False,False,True,0.5300000000000011,True,2.269999999999982,226.5,223.79,0.6899999999999977,0.7700000000000102,0.4600000000000079,True,False,True,False,1.1099999999999852,1.2140624999999787,0.8993055555555435,True,0.7566666666666605,0.0139363575684957,0.00017890487488194127,False,True,222.05535714285713,226.45948529411763,True,True,True,12.0
226.47,226.56,225.41,225.67,759.6272606800001,2,0,0,6,1.1500000000000057,-0.8000000000000114,0.8000000000000114,1.27,0.9055118110236264,0.8518518518518596,0.8278965129358906,False,0.2457392475324083,Asia,858,25740,29.03,Asia,False,1646.65,0.9251772000090536,0.6956521739130499,0.0900000000000034,0.2599999999999909,226.5,225.15,True,False,False,1.1099999999999852,False,0.839999999999975,226.56,223.87,-0.8300000000000125,0.0600000000000022,0.2599999999999909,True,False,True,True,-0.8000000000000114,0.7244094488189116,-0.6299212598425287,True,0.2799999999999915,0.015107236773327143,0.0004438529291534432,False,True,222.05535714285713,226.45948529411763,True,True,True,11.0
262.42,269.49,261.66,262.8,35678.212438970004,22,30,2,7,7.829999999999984,0.3799999999999954,0.3799999999999954,2.40142857142857,3.2605591909577587,0.5120994113799862,0.4091311775629515,True,4.843791444267137,Other,685,20550,67.0,Other,False,1647.18,0.9264105004892984,0.0485312899105997,6.689999999999998,0.7599999999999909,262.5,247.21,False,True,True,14.639999999999986,True,17.17999999999998,269.49,245.16,0.3000000000000113,6.990000000000009,14.450000000000015,True,False,True,False,0.3799999999999954,1.2390124925639334,0.1582391433670416,False,5.72666666666666,0.00028018339276613655,0.009376248501797831,True,False,261.73333333333335,266.9866666666667,True,True,True,13.0
286.16,287.8,285.13,285.32,6933.40404278,21,0,4,7,2.670000000000016,-0.8400000000000318,0.8400000000000318,2.969285714285722,0.8992061582872294,0.667500000000004,0.6633251142650982,False,1.2161944289006057,Other,698,20940,89.51999999999998,Other,False,1647.18,0.9264105004892984,0.3146067415730437,1.6399999999999864,0.1899999999999977,287.0,283.0,True,False,True,3.150000000000034,False,1.8199999999999927,287.8,281.02,-1.6800000000000068,0.8000000000000114,2.1299999999999955,True,False,True,False,-0.8400000000000318,0.7553331729613013,-0.2828963194611598,False,0.6066666666666644,0.01575784923763818,0.006258522429285761,False,False,280.7066666666667,286.01,True,True,True,1.0
285.33,286.55,285.13,285.25,3833.27518166,21,30,4,7,1.420000000000016,-0.079999999999984,0.079999999999984,2.9400000000000057,0.482993197278916,0.5318352059925121,0.5371328841863154,False,1.196636489870203,Other,699,20970,89.44999999999999,Other,False,1647.18,0.9264105004892984,0.0563380281690022,1.2200000000000273,0.1200000000000045,287.8,285.13,False,False,True,-0.8400000000000318,True,2.230000000000018,287.8,282.13,-2.550000000000012,-1.25,0.0,False,True,True,True,-0.079999999999984,0.0386394557823056,-0.027210884353736,False,0.7433333333333394,0.01575784923763818,0.0018880458725220113,False,False,280.7066666666667,286.01,True,True,True,0.0
285.32,286.02,280.3,281.83,7321.18591911,22,0,4,7,5.71999999999997,-3.490000000000009,3.490000000000009,3.2728571428571462,1.7477084242688674,4.028169014084441,3.6184949065848047,False,1.5367501784971669,Other,700,21000,86.02999999999997,Other,False,1647.18,0.9264105004892984,0.6101398601398649,0.6999999999999886,1.5299999999999727,286.55,285.13,False,False,False,-0.079999999999984,True,-4.410000000000025,287.8,280.3,-5.970000000000027,-0.5300000000000296,-4.829999999999984,False,True,True,False,-3.490000000000009,6.099502400698364,-1.0663465735486704,False,-1.4700000000000084,0.0014487246473187717,3.49638124540782e-05,False,True,280.7066666666667,286.01,True,True,True,1.0
