time,open,high,low,close,ATR
2025-04-19T21:30:00Z,85271,85346,85238,85335,165.2893378981539
2025-04-19T22:00:00Z,85335,85335,85218,85245,161.84009947685718
2025-04-19T22:30:00Z,85235,85346,85208,85251,160.13723522851024
2025-04-19T23:00:00Z,85250,85251,85110,85110,158.7702898550452
2025-04-19T23:30:00Z,85111,85159,85069,85069,153.85812629397054
2025-04-20T00:00:00Z,85074,85212,85050,85137,154.43968870154407
2025-04-20T00:30:00Z,85164,85212,85079,85165,152.90828236571951
2025-04-20T01:00:00Z,85151,85305,85148,85259,153.20054791102527
2025-04-20T01:30:00Z,85258,85305,85205,85305,149.40050877452344
2025-04-20T02:00:00Z,85305,85305,85199,85213,146.30047243348605
2025-04-20T02:30:00Z,85225,85287,85195,85230,142.42186725966562
2025-04-20T03:00:00Z,85231,85242,85171,85204,137.32030531254665
2025-04-20T03:30:00Z,85204,85211,85121,85159,133.9402835045076
2025-04-20T04:00:00Z,85161,85215,85110,85215,131.87312039704275
2025-04-20T04:30:00Z,85214,85240,85150,85178,128.8821832258254
2025-04-20T05:00:00Z,85178,85190,85148,85154,122.67631299540929
2025-04-20T05:30:00Z,85154,85154,85100,85100,117.77086206716578
2025-04-20T06:00:00Z,85090,85155,85069,85073,115.50151477665393
2025-04-20T06:30:00Z,85074,85114,84855,84959,125.75140657832151
2025-04-20T07:00:00Z,84959,84959,84734,84766,132.84059182272713
2025-04-20T07:30:00Z,84750,84825,84682,84791,133.5662638353895
2025-04-20T08:00:00Z,84791,84791,84662,84678,133.24010213286167
2025-04-20T08:30:00Z,84688,84698,84628,84642,128.7229519805144
2025-04-20T09:00:00Z,84642,84642,84587,84588,123.4570268390491
2025-04-20T09:30:00Z,84588,84628,84460,84557,126.63866777911703
2025-04-20T10:00:00Z,84554,84554,84409,84410,128.1644772234658
2025-04-20T10:30:00Z,84409,84443,84005,84154,150.29558599321825
2025-04-20T11:00:00Z,84173,84237,84035,84046,153.9887584222741
2025-04-20T11:30:00Z,84041,84136,83974,84125,154.5609899635402
2025-04-20T12:00:00Z,84124,84398,84124,84398,163.09234782328733
2025-04-20T12:30:00Z,84398,84479,84319,84370,162.87146583590967
2025-04-20T13:00:00Z,84369,84388,84176,84347,166.38064684763043
2025-04-20T13:30:00Z,84347,84439,84272,84324,166.42488635851396
2025-04-20T14:00:00Z,84323,84661,84269,84503,182.53739447576297
2025-04-20T14:30:00Z,84585,84648,84529,84641,179.85615201320846
2025-04-20T15:00:00Z,84640,84640,84365,84392,186.72356972655072
2025-04-20T15:30:00Z,84391,84493,84327,84359,185.24331474608283
2025-04-20T16:00:00Z,84360,84615,84288,84550,195.36879226421976
2025-04-20T16:30:00Z,84550,84623,84501,84610,190.1281642453469
2025-04-20T17:00:00Z,84608,84618,84453,84461,188.33329537067928
2025-04-20T17:30:00Z,84483,84625,84455,84585,187.0237742727736
2025-04-20T18:00:00Z,84583,84638,84557,84568,179.45064753900405
2025-04-20T18:30:00Z,84578,84589,84473,84580,174.91845842907517
2025-04-20T19:00:00Z,84587,84595,84520,84549,167.78142568414123
2025-04-20T19:30:00Z,84579,84652,84567,84647,163.15418099241683
2025-04-20T20:00:00Z,84647,85202,84615,85111,193.42888235010133
2025-04-20T20:30:00Z,85111,85229,85039,85117,193.18396218223694
2025-04-20T21:00:00Z,85179,85202,84927,84998,199.02796488350575
2025-04-20T21:30:00Z,84998,85182,84967,85001,200.1688245346839
2025-04-20T22:00:00Z,85006,85010,84682,84713,209.29962278220646
2025-04-20T22:30:00Z,84712,84839,84685,84830,205.34964972633455
2025-04-20T23:00:00Z,84884,85274,84884,85083,222.39610331731066
2025-04-20T23:30:00Z,85083,85198,84987,85198,221.58209593750277
2025-04-21T00:00:00Z,85197,86262,85134,86184,286.32623194196685
2025-04-21T00:30:00Z,86277,86986,86224,86620,323.16007251754064
2025-04-21T01:00:00Z,86633,87236,86633,87093,344.07721019485916
2025-04-21T01:30:00Z,87129,87427,87085,87286,343.9288380380835
2025-04-21T02:00:00Z,87323,87641,87128,87390,356.0053496067918
2025-04-21T02:30:00Z,87413,87470,87142,87366,354.00496749202097
2025-04-21T03:00:00Z,87393,87603,87379,87379,345.6474698140195
2025-04-21T03:30:00Z,87393,87449,87180,87180,340.1726505415895
2025-04-21T04:00:00Z,87191,87338,87125,87132,331.08888978861887
2025-04-21T04:30:00Z,87127,87386,87074,87381,329.7253976608604
2025-04-21T05:00:00Z,87381,87462,87342,87454,314.7450121136561
2025-04-21T05:30:00Z,87471,87705,87355,87545,317.26322553410927
2025-04-21T06:00:00Z,87554,87689,87472,87503,310.1015665673872
2025-04-21T06:30:00Z,87502,87550,87397,87525,298.8800260982881
2025-04-21T07:00:00Z,87528,87597,87358,87400,294.6028813769818
2025-04-21T07:30:00Z,87400,87589,87400,87428,287.0598184214831
2025-04-21T08:00:00Z,87428,87702,87428,87631,286.12697424852
2025-04-21T08:30:00Z,87638,87652,87552,87587,272.83219037362574
2025-04-21T09:00:00Z,87586,87765,87325,87341,284.77274820408104
2025-04-21T09:30:00Z,87342,87527,87315,87497,279.5746947609324
2025-04-21T10:00:00Z,87497,87575,87293,87293,279.74793084943724
2025-04-21T10:30:00Z,87292,87403,87250,87368,270.69450721733455
2025-04-21T11:00:00Z,87325,87335,86656,86811,302.21632813038207
2025-04-21T11:30:00Z,86827,86989,86764,86989,296.7008761210691
2025-04-21T12:00:00Z,86988,87522,86985,87323,313.86509925527844
2025-04-21T12:30:00Z,87322,87399,87043,87049,316.87473502275856
2025-04-21T13:00:00Z,87055,87229,86804,87225,324.59796823541865
2025-04-21T13:30:00Z,87230,87578,86946,87062,346.55525621860306
2025-04-21T14:00:00Z,87046,88474,86979,88471,428.58702363156
2025-04-21T14:30:00Z,88473,88527,87860,88261,445.61652194359147
2025-04-21T15:00:00Z,88253,88359,87944,88301,443.4296275190492
2025-04-21T15:30:00Z,88310,88408,87957,88103,443.9703684105457
2025-04-21T16:00:00Z,88092,88300,87728,87792,453.1153420955067
2025-04-21T16:30:00Z,87791,87957,87046,87177,485.82138908868484
2025-04-21T17:00:00Z,87176,87318,86404,87177,516.4055755823503
2025-04-21T17:30:00Z,87168,87268,86720,86871,518.662320183611
2025-04-21T18:00:00Z,86869,87053,86671,86877,508.9007258847816
2025-04-21T18:30:00Z,86878,87032,86826,86826,487.26495975015433
2025-04-21T19:00:00Z,86810,87293,86738,87293,492.1031769108576
2025-04-21T19:30:00Z,87293,87475,87240,87421,473.73866427436775
2025-04-21T20:00:00Z,87405,87405,87149,87166,459.3287596833415
2025-04-21T20:30:00Z,87156,87351,87141,87351,441.5195625631028
2025-04-21T21:00:00Z,87371,87383,87154,87180,426.33959380859545
2025-04-21T21:30:00Z,87180,87343,86903,87278,427.3153371079815
2025-04-21T22:00:00Z,87271,87271,86929,87008,421.7213844574114
2025-04-21T22:30:00Z,87008,87176,86992,87173,404.74128556759626
2025-04-21T23:00:00Z,87169,87352,87038,87342,398.2597651699108
2025-04-21T23:30:00Z,87342,87624,87193,87505,400.59835337206005
2025-04-22T00:00:00Z,87505,87695,87454,87604,389.19847098834146
2025-04-22T00:30:00Z,87603,87702,87094,87701,404.82715163203136
2025-04-22T01:00:00Z,87675,88874,87517,88408,472.8394979440291
2025-04-22T01:30:00Z,88407,88548,88262,88436,459.4938195194556
2025-04-22T02:00:00Z,88425,88666,88020,88069,472.81568955378015
2025-04-22T02:30:00Z,88063,88276,87913,88176,464.9717117285101
2025-04-22T03:00:00Z,88182,88270,87850,88145,461.75944660504507
2025-04-22T03:30:00Z,88145,88272,88079,88160,442.56234327611327
2025-04-22T04:00:00Z,88173,88368,88173,88293,425.8078901849623
2025-04-22T04:30:00Z,88289,88300,88043,88063,413.75018374317926
2025-04-22T05:00:00Z,88060,88172,87976,88133,398.19659919009507
2025-04-22T05:30:00Z,88135,88399,88121,88390,389.61112781937396
2025-04-22T06:00:00Z,88389,88446,88092,88092,387.0674758322758
2025-04-22T06:30:00Z,88093,88251,88018,88251,376.06265612997043
2025-04-22T07:00:00Z,88280,88335,88179,88312,360.3438949778297
2025-04-22T07:30:00Z,88311,88489,88311,88488,347.31933105084187
2025-04-22T08:00:00Z,88495,88676,88383,88411,343.43937883292455
2025-04-22T08:30:00Z,88411,88500,88338,88395,330.4794232020013
2025-04-22T09:00:00Z,88409,88520,88320,88520,321.1594644018584
2025-04-22T09:30:00Z,88533,88588,88465,88530,307.00521694458274
2025-04-22T10:00:00Z,88579,88597,88272,88337,308.2905585913982
2025-04-22T10:30:00Z,88336,88580,88321,88533,304.7698044062984
2025-04-22T11:00:00Z,88530,88665,88491,88650,295.4291040915628
2025-04-22T11:30:00Z,88650,88697,88485,88624,289.4698823707369
2025-04-22T12:00:00Z,88623,88795,88556,88792,285.86489077282715
2025-04-22T12:30:00Z,88793,89220,88495,88987,317.23168428905376
2025-04-22T13:00:00Z,89027,89867,88974,89650,358.3579925541213
2025-04-22T13:30:00Z,89661,90521,89424,90278,411.11813594311263
2025-04-22T14:00:00Z,90270,90600,90089,90308,418.2525548043189
2025-04-22T14:30:00Z,90308,90993,90173,90859,446.9488008897247
2025-04-22T15:00:00Z,90855,91496,90817,91021,463.5238865404586
2025-04-22T15:30:00Z,91018,91075,90536,90977,468.9150375018544
2025-04-22T16:00:00Z,91014,91116,90719,90752,463.77824910886477
2025-04-22T16:30:00Z,90751,90921,90705,90740,446.0798027439459
2025-04-22T17:00:00Z,90740,91086,90740,90999,438.9312454050926
2025-04-22T17:30:00Z,90998,91566,90998,91497,448.1504421618717
2025-04-22T18:00:00Z,91477,91673,91220,91256,448.4968391503094
2025-04-22T18:30:00Z,91256,91600,91236,91575,442.461350639573
2025-04-22T19:00:00Z,91574,91761,91552,91729,425.78553987960356
2025-04-22T19:30:00Z,91728,91737,91047,91556,444.6580013167747
2025-04-22T20:00:00Z,91546,91584,91237,91316,437.68242979414794
2025-04-22T20:30:00Z,91310,91332,91132,91188,420.70511338028024
2025-04-22T21:00:00Z,91179,91995,91126,91437,452.7261767102602
